country,country_code,pension_system,Bismarckian,Beveridgean
Austria,AUT,Bismarckian,1,0
Belgium,BEL,Bismarckian,1,0
Bulgaria,BGR,Bismarckian,1,0
Croatia,HRV,Bismarckian,1,0
Cyprus,CYP,Multipillar,0,0
Czechia,CZE,Bismarckian,1,0
Denmark,DNK,Beveridgean,0,1
Estonia,EST,Multipillar,0,0
Finland,FIN,Beveridgean,0,1
France,FRA,Bismarckian,1,0
Germany,DEU,Bismarckian,1,0
Greece,GRC,Bismarckian,1,0
Hungary,HUN,Bismarckian,1,0
Ireland,IRL,Beveridgean,0,1
Italy,ITA,Bismarckian,1,0
Latvia,LVA,Multipillar,0,0
Lithuania,LTU,Multipillar,0,0
Luxembourg,LUX,Bismarckian,1,0
Malta,MLT,Multipillar,0,0
Netherlands,NLD,Beveridgean,0,1
Poland,POL,Bismarckian,1,0
Portugal,PRT,Bismarckian,1,0
Romania,ROU,Bismarckian,1,0
Slovak Republic,SVK,Bismarckian,1,0
Slovenia,SVN,Bismarckian,1,0
Spain,ESP,Bismarckian,1,0
Sweden,SWE,Beveridgean,0,1
Switzerland,CHE,Multipillar,0,0