"Country","Country_Code","Year","GDP_per_Capita_PPP"
"Australia","AUS",2010,39504.36108
"Australia","AUS",2011,42152.81618
"Australia","AUS",2012,43007.26978
"Australia","AUS",2013,46123.4751
"Australia","AUS",2014,47108.59065
"Australia","AUS",2015,46464.58676
"Australia","AUS",2016,47446.2103
"Australia","AUS",2017,48564.82866
"Australia","AUS",2018,50371.23383
"Australia","AUS",2019,52885.83138
"Australia","AUS",2020,54184.16145
"Australia","AUS",2021,58327.41468
"Australia","AUS",2022,66103.17971
"Australia","AUS",2023,72272.70921
"Australia","AUS",2024,72111.18446
"Austria","AUT",2010,41735.45748
"Austria","AUT",2011,44171.56187
"Austria","AUT",2012,46156.48321
"Austria","AUT",2013,47519.85228
"Austria","AUT",2014,48355.49776
"Austria","AUT",2015,49549.31623
"Austria","AUT",2016,52397.86352
"Austria","AUT",2017,53869.83212
"Austria","AUT",2018,56636.4953
"Austria","AUT",2019,60354.92794
"Austria","AUT",2020,58523.03378
"Austria","AUT",2021,62968.94223
"Austria","AUT",2022,72065.49743
"Austria","AUT",2023,73544.65672
"Austria","AUT",2024,73911.43966
"Belgium","BEL",2010,39839.97728
"Belgium","BEL",2011,41244.8495
"Belgium","BEL",2012,42483.52507
"Belgium","BEL",2013,43864.12042
"Belgium","BEL",2014,45147.64295
"Belgium","BEL",2015,46071.91489
"Belgium","BEL",2016,48414.55181
"Belgium","BEL",2017,50256.06318
"Belgium","BEL",2018,52466.73308
"Belgium","BEL",2019,56712.46957
"Belgium","BEL",2020,56120.09584
"Belgium","BEL",2021,60669.21377
"Belgium","BEL",2022,69128.13889
"Belgium","BEL",2023,71946.14472
"Belgium","BEL",2024,73514.4831
"Bulgaria","BGR",2010,14954.25432
"Bulgaria","BGR",2011,15747.34766
"Bulgaria","BGR",2012,16327.33828
"Bulgaria","BGR",2013,16893.76896
"Bulgaria","BGR",2014,17990.76215
"Bulgaria","BGR",2015,18896.10286
"Bulgaria","BGR",2016,20745.84721
"Bulgaria","BGR",2017,22317.25489
"Bulgaria","BGR",2018,23997.68769
"Bulgaria","BGR",2019,26765.7192
"Bulgaria","BGR",2020,27351.86074
"Bulgaria","BGR",2021,30959.11185
"Bulgaria","BGR",2022,36320.14223
"Bulgaria","BGR",2023,38829.19132
"Bulgaria","BGR",2024,41969.45157
"Canada","CAN",2010,40103.11144
"Canada","CAN",2011,41666.83746
"Canada","CAN",2012,42291.97294
"Canada","CAN",2013,44301.05625
"Canada","CAN",2014,45758.10073
"Canada","CAN",2015,44668.09128
"Canada","CAN",2016,46470.64664
"Canada","CAN",2017,48317.38745
"Canada","CAN",2018,49982.59991
"Canada","CAN",2019,50498.97311
"Canada","CAN",2020,48590.68321
"Canada","CAN",2021,56995.11768
"Canada","CAN",2022,63944.10501
"Canada","CAN",2023,64219.31739
"Canada","CAN",2024,64610.37952
"Chile","CHL",2010,17917.89512
"Chile","CHL",2011,20121.68342
"Chile","CHL",2012,21366.17713
"Chile","CHL",2013,22201.06607
"Chile","CHL",2014,22553.61618
"Chile","CHL",2015,22468.31257
"Chile","CHL",2016,23256.5036
"Chile","CHL",2017,24295.22377
"Chile","CHL",2018,25305.09035
"Chile","CHL",2019,25611.75783
"Chile","CHL",2020,25350.86351
"Chile","CHL",2021,29089.85046
"Chile","CHL",2022,30932.00109
"Chile","CHL",2023,33145.40355
"Chile","CHL",2024,36181.15662
"Colombia","COL",2010,10841.12798
"Colombia","COL",2011,11707.46146
"Colombia","COL",2012,12093.07549
"Colombia","COL",2013,12779.88658
"Colombia","COL",2014,13355.36242
"Colombia","COL",2015,13332.0555
"Colombia","COL",2016,14026.83999
"Colombia","COL",2017,14400.61398
"Colombia","COL",2018,15239.40495
"Colombia","COL",2019,16181.5909
"Colombia","COL",2020,15519.21017
"Colombia","COL",2021,17383.09017
"Colombia","COL",2022,20854.003
"Colombia","COL",2023,21246.37627
"Colombia","COL",2024,22349.43644
"Costa Rica","CRI",2010,12927.56459
"Costa Rica","CRI",2011,13614.2604
"Costa Rica","CRI",2012,14463.74044
"Costa Rica","CRI",2013,15232.07715
"Costa Rica","CRI",2014,16393.80954
"Costa Rica","CRI",2015,17525.14046
"Costa Rica","CRI",2016,19201.74532
"Costa Rica","CRI",2017,20499.34421
"Costa Rica","CRI",2018,21498.03507
"Costa Rica","CRI",2019,23339.60913
"Costa Rica","CRI",2020,22099.86781
"Costa Rica","CRI",2021,23852.9253
"Costa Rica","CRI",2022,26226.27548
"Costa Rica","CRI",2023,28908.76887
"Costa Rica","CRI",2024,31106.76436
"Croatia","HRV",2010,20139.29554
"Croatia","HRV",2011,21190.71306
"Croatia","HRV",2012,21618.82563
"Croatia","HRV",2013,22429.85023
"Croatia","HRV",2014,22706.17995
"Croatia","HRV",2015,23749.63675
"Croatia","HRV",2016,25802.68233
"Croatia","HRV",2017,27887.75884
"Croatia","HRV",2018,29789.13054
"Croatia","HRV",2019,33063.91017
"Croatia","HRV",2020,31594.01119
"Croatia","HRV",2021,36930.28419
"Croatia","HRV",2022,42125.07269
"Croatia","HRV",2023,47759.6983
"Croatia","HRV",2024,49550.79215
"Cyprus","CYP",2010,33502.16406
"Cyprus","CYP",2011,33405.97656
"Cyprus","CYP",2012,31924.09961
"Cyprus","CYP",2013,30415.78906
"Cyprus","CYP",2014,29892.71094
"Cyprus","CYP",2015,31380.19922
"Cyprus","CYP",2016,35246.90234
"Cyprus","CYP",2017,37768.11719
"Cyprus","CYP",2018,40262.30859
"Cyprus","CYP",2019,44393.99219
"Cyprus","CYP",2020,42569.05469
"Cyprus","CYP",2021,47632.76953
"Cyprus","CYP",2022,55876.17578
"Cyprus","CYP",2023,59874.57031
"Cyprus","CYP",2024,63006.61328
"Czechia","CZE",2010,28153.85186
"Czechia","CZE",2011,29237.1871
"Czechia","CZE",2012,29465.6074
"Czechia","CZE",2013,31013.00829
"Czechia","CZE",2014,32743.48977
"Czechia","CZE",2015,34093.02806
"Czechia","CZE",2016,36445.04857
"Czechia","CZE",2017,39346.03056
"Czechia","CZE",2018,41638.18311
"Czechia","CZE",2019,45614.01711
"Czechia","CZE",2020,44839.48221
"Czechia","CZE",2021,47796.03374
"Czechia","CZE",2022,52946.96609
"Czechia","CZE",2023,55761.37983
"Czechia","CZE",2024,57285.4237
"Estonia","EST",2010,21614.30683
"Estonia","EST",2011,24652.36103
"Estonia","EST",2012,26242.52827
"Estonia","EST",2013,27831.15262
"Estonia","EST",2014,29403.65845
"Estonia","EST",2015,29712.62995
"Estonia","EST",2016,31947.77691
"Estonia","EST",2017,34506.64869
"Estonia","EST",2018,37120.98798
"Estonia","EST",2019,40586.37844
"Estonia","EST",2020,40672.13404
"Estonia","EST",2021,44251.5375
"Estonia","EST",2022,48217.55231
"Estonia","EST",2023,48637.18022
"Estonia","EST",2024,49968.71083
"Finland","FIN",2010,38946.22827
"Finland","FIN",2011,40845.95667
"Finland","FIN",2012,40739.11318
"Finland","FIN",2013,41325.80521
"Finland","FIN",2014,41547.09845
"Finland","FIN",2015,42257.85938
"Finland","FIN",2016,44562.40111
"Finland","FIN",2017,47234.85286
"Finland","FIN",2018,49248.67754
"Finland","FIN",2019,52276.11157
"Finland","FIN",2020,53296.57928
"Finland","FIN",2021,56790.37662
"Finland","FIN",2022,62133.13752
"Finland","FIN",2023,63414.99369
"Finland","FIN",2024,65378.38419
"France","FRA",2010,35907.5531
"France","FRA",2011,37510.37599
"France","FRA",2012,37671.02393
"France","FRA",2013,39583.35204
"France","FRA",2014,40218.12586
"France","FRA",2015,40905.17678
"France","FRA",2016,42880.23514
"France","FRA",2017,44469.14589
"France","FRA",2018,46381.05906
"France","FRA",2019,51130.47231
"France","FRA",2020,49481.80443
"France","FRA",2021,52517.33549
"France","FRA",2022,57042.9449
"France","FRA",2023,60838.94167
"France","FRA",2024,62556.9181
"Germany","DEU",2010,39726.09869
"Germany","DEU",2011,43398.3444
"Germany","DEU",2012,44229.39419
"Germany","DEU",2013,45889.0173
"Germany","DEU",2014,47938.79682
"Germany","DEU",2015,48545.40072
"Germany","DEU",2016,51569.90168
"Germany","DEU",2017,54110.25366
"Germany","DEU",2018,56273.04056
"Germany","DEU",2019,59270.72765
"Germany","DEU",2020,58685.8727
"Germany","DEU",2021,62530.76532
"Germany","DEU",2022,69048.9884
"Germany","DEU",2023,71684.03119
"Germany","DEU",2024,73551.93477
"Greece","GRC",2010,27838.73639
"Greece","GRC",2011,25692.57409
"Greece","GRC",2012,24582.9742
"Greece","GRC",2013,25730.8809
"Greece","GRC",2014,26450.18133
"Greece","GRC",2015,26607.72568
"Greece","GRC",2016,27504.5498
"Greece","GRC",2017,28681.68156
"Greece","GRC",2018,29792.05925
"Greece","GRC",2019,31927.37922
"Greece","GRC",2020,29533.08774
"Greece","GRC",2021,33531.15511
"Greece","GRC",2022,39612.44064
"Greece","GRC",2023,42710.5058
"Greece","GRC",2024,44327.20978
"Hungary","HUN",2010,21690.98665
"Hungary","HUN",2011,22992.21847
"Hungary","HUN",2012,23205.31067
"Hungary","HUN",2013,24591.63805
"Hungary","HUN",2014,25796.2101
"Hungary","HUN",2015,26937.73208
"Hungary","HUN",2016,28178.94504
"Hungary","HUN",2017,29728.01216
"Hungary","HUN",2018,32258.25779
"Hungary","HUN",2019,35627.23155
"Hungary","HUN",2020,35583.58557
"Hungary","HUN",2021,38887.19095
"Hungary","HUN",2022,44365.91081
"Hungary","HUN",2023,46592.38561
"Hungary","HUN",2024,48552.47081
"Ireland","IRL",2010,43212.204
"Ireland","IRL",2011,45525.71812
"Ireland","IRL",2012,46726.21577
"Ireland","IRL",2013,48838.77198
"Ireland","IRL",2014,52640.78439
"Ireland","IRL",2015,71588.26566
"Ireland","IRL",2016,73012.81987
"Ireland","IRL",2017,80450.35293
"Ireland","IRL",2018,86299.34202
"Ireland","IRL",2019,92022.5988
"Ireland","IRL",2020,97799.92257
"Ireland","IRL",2021,116903.6124
"Ireland","IRL",2022,138522.5178
"Ireland","IRL",2023,129682.6072
"Ireland","IRL",2024,133437.4701
"Israel","ISR",2010,29455.95467
"Israel","ISR",2011,31313.9335
"Israel","ISR",2012,32483.74219
"Israel","ISR",2013,34827.36474
"Israel","ISR",2014,34816.24225
"Israel","ISR",2015,35870.79272
"Israel","ISR",2016,38189.16103
"Israel","ISR",2017,39470.86813
"Israel","ISR",2018,40189.991
"Israel","ISR",2019,41325.17837
"Israel","ISR",2020,40955.28562
"Israel","ISR",2021,46162.08227
"Israel","ISR",2022,53619.0681
"Israel","ISR",2023,55171.23188
"Israel","ISR",2024,57235.77632
"Italy","ITA",2010,34974.10451
"Italy","ITA",2011,36392.28278
"Italy","ITA",2012,36281.10142
"Italy","ITA",2013,36459.29502
"Italy","ITA",2014,36665.68577
"Italy","ITA",2015,37384.37965
"Italy","ITA",2016,40482.563
"Italy","ITA",2017,42142.34354
"Italy","ITA",2018,43386.70059
"Italy","ITA",2019,46661.91052
"Italy","ITA",2020,44435.64344
"Italy","ITA",2021,49825.39341
"Italy","ITA",2022,57260.89454
"Italy","ITA",2023,60029.87171
"Italy","ITA",2024,62014.26752
"Japan","JPN",2010,35336.00805
"Japan","JPN",2011,36214.43977
"Japan","JPN",2012,37605.97426
"Japan","JPN",2013,39402.0251
"Japan","JPN",2014,39555.41201
"Japan","JPN",2015,40898.80697
"Japan","JPN",2016,40596.96866
"Japan","JPN",2017,41444.21574
"Japan","JPN",2018,42141.9353
"Japan","JPN",2019,42678.15114
"Japan","JPN",2020,42425.69468
"Japan","JPN",2021,44355.34872
"Japan","JPN",2022,47192.05006
"Japan","JPN",2023,50661.76635
"Japan","JPN",2024,52039.17166
"Korea, Rep.","KOR",2010,33120.35193
"Korea, Rep.","KOR",2011,33944.25119
"Korea, Rep.","KOR",2012,35061.55319
"Korea, Rep.","KOR",2013,35844.22538
"Korea, Rep.","KOR",2014,37032.17242
"Korea, Rep.","KOR",2015,39794.19612
"Korea, Rep.","KOR",2016,41672.62783
"Korea, Rep.","KOR",2017,43155.91009
"Korea, Rep.","KOR",2018,45511.08035
"Korea, Rep.","KOR",2019,46511.2197
"Korea, Rep.","KOR",2020,47881.49213
"Korea, Rep.","KOR",2021,51718.25187
"Korea, Rep.","KOR",2022,55509.33688
"Korea, Rep.","KOR",2023,57429.80311
"Korea, Rep.","KOR",2024,61051.34925
"Latvia","LVA",2010,16373.40373
"Latvia","LVA",2011,17680.49396
"Latvia","LVA",2012,19416.51674
"Latvia","LVA",2013,20473.52437
"Latvia","LVA",2014,21553.66232
"Latvia","LVA",2015,22543.91832
"Latvia","LVA",2016,24063.45112
"Latvia","LVA",2017,25763.99077
"Latvia","LVA",2018,29817.80473
"Latvia","LVA",2019,32199.09604
"Latvia","LVA",2020,32741.42077
"Latvia","LVA",2021,36912.01306
"Latvia","LVA",2022,40558.74958
"Latvia","LVA",2023,42576.40608
"Latvia","LVA",2024,43394.27328
"Lithuania","LTU",2010,18718.90437
"Lithuania","LTU",2011,21557.65675
"Lithuania","LTU",2012,23275.25176
"Lithuania","LTU",2013,24889.87262
"Lithuania","LTU",2014,26274.74888
"Lithuania","LTU",2015,26948.59194
"Lithuania","LTU",2016,28698.98879
"Lithuania","LTU",2017,31305.04369
"Lithuania","LTU",2018,36491.93852
"Lithuania","LTU",2019,40563.83049
"Lithuania","LTU",2020,41262.72769
"Lithuania","LTU",2021,45873.52732
"Lithuania","LTU",2022,50936.00495
"Lithuania","LTU",2023,52348.24682
"Lithuania","LTU",2024,55285.89919
"Luxembourg","LUX",2010,90336.01847
"Luxembourg","LUX",2011,94475.03023
"Luxembourg","LUX",2012,96636.42664
"Luxembourg","LUX",2013,100925.012
"Luxembourg","LUX",2014,105296.2846
"Luxembourg","LUX",2015,107859.686
"Luxembourg","LUX",2016,113365.1761
"Luxembourg","LUX",2017,114985.8422
"Luxembourg","LUX",2018,116638.4142
"Luxembourg","LUX",2019,121371.7399
"Luxembourg","LUX",2020,122066.7391
"Luxembourg","LUX",2021,136772.4438
"Luxembourg","LUX",2022,146919.1454
"Luxembourg","LUX",2023,150508.2189
"Luxembourg","LUX",2024,155941.2882
"Malta","MLT",2010,28909.19403
"Malta","MLT",2011,29425.90624
"Malta","MLT",2012,30716.28274
"Malta","MLT",2013,33138.03735
"Malta","MLT",2014,35205.70127
"Malta","MLT",2015,38368.70204
"Malta","MLT",2016,40999.96203
"Malta","MLT",2017,45763.73306
"Malta","MLT",2018,48178.29206
"Malta","MLT",2019,51392.81528
"Malta","MLT",2020,49971.8784
"Malta","MLT",2021,56852.32185
"Malta","MLT",2022,60588.88906
"Malta","MLT",2023,67057.21843
"Malta","MLT",2024,69863.74613
"Mexico","MEX",2010,15909.1465
"Mexico","MEX",2011,17266.81291
"Mexico","MEX",2012,18004.79356
"Mexico","MEX",2013,18170.26479
"Mexico","MEX",2014,18820.79911
"Mexico","MEX",2015,19071.44442
"Mexico","MEX",2016,20104.58398
"Mexico","MEX",2017,20488.71508
"Mexico","MEX",2018,20921.47753
"Mexico","MEX",2019,20964.27748
"Mexico","MEX",2020,19354.12487
"Mexico","MEX",2021,20782.58774
"Mexico","MEX",2022,23135.49316
"Mexico","MEX",2023,25243.16449
"Mexico","MEX",2024,26185.35647
"Netherlands","NLD",2010,45301.26958
"Netherlands","NLD",2011,47004.13707
"Netherlands","NLD",2012,47653.34017
"Netherlands","NLD",2013,49622.05196
"Netherlands","NLD",2014,49751.30929
"Netherlands","NLD",2015,50956.69309
"Netherlands","NLD",2016,53162.27916
"Netherlands","NLD",2017,56037.56799
"Netherlands","NLD",2018,58819.26091
"Netherlands","NLD",2019,62345.25385
"Netherlands","NLD",2020,62596.6302
"Netherlands","NLD",2021,68573.56488
"Netherlands","NLD",2022,78630.35991
"Netherlands","NLD",2023,81728.69046
"Netherlands","NLD",2024,86173.62908
"New Zealand","NZL",2010,31305.32995
"New Zealand","NZL",2011,32738.98844
"New Zealand","NZL",2012,33054.89368
"New Zealand","NZL",2013,36262.70473
"New Zealand","NZL",2014,37331.31557
"New Zealand","NZL",2015,37513.29639
"New Zealand","NZL",2016,39988.92509
"New Zealand","NZL",2017,42243.50845
"New Zealand","NZL",2018,42527.27841
"New Zealand","NZL",2019,45278.45872
"New Zealand","NZL",2020,45513.31238
"New Zealand","NZL",2021,48248.71767
"New Zealand","NZL",2022,54033.91301
"New Zealand","NZL",2023,54697.38225
"New Zealand","NZL",2024,55551.14366
"Norway","NOR",2010,58213.13337
"Norway","NOR",2011,62460.09082
"Norway","NOR",2012,65774.35207
"Norway","NOR",2013,67377.92623
"Norway","NOR",2014,66332.46144
"Norway","NOR",2015,60737.88681
"Norway","NOR",2016,59280.1992
"Norway","NOR",2017,64589.55592
"Norway","NOR",2018,70253.84637
"Norway","NOR",2019,70939.60552
"Norway","NOR",2020,67110.60457
"Norway","NOR",2021,88984.13867
"Norway","NOR",2022,125489.5489
"Norway","NOR",2023,103637.5168
"Norway","NOR",2024,102037.5268
"Poland","POL",2010,20990.91223
"Poland","POL",2011,22808.50553
"Poland","POL",2012,23728.14568
"Poland","POL",2013,24433.89143
"Poland","POL",2014,25459.73923
"Poland","POL",2015,26988.1069
"Poland","POL",2016,28359.69273
"Poland","POL",2017,30170.2819
"Poland","POL",2018,32345.10661
"Poland","POL",2019,35882.36551
"Poland","POL",2020,37089.30043
"Poland","POL",2021,41059.58478
"Poland","POL",2022,46777.55245
"Poland","POL",2023,48473.09403
"Poland","POL",2024,51262.51058
"Portugal","PRT",2010,27292.08195
"Portugal","PRT",2011,26803.23369
"Portugal","PRT",2012,26476.21828
"Portugal","PRT",2013,27966.08743
"Portugal","PRT",2014,28764.5255
"Portugal","PRT",2015,29608.00715
"Portugal","PRT",2016,31589.26956
"Portugal","PRT",2017,32970.83954
"Portugal","PRT",2018,34896.79934
"Portugal","PRT",2019,37865.56036
"Portugal","PRT",2020,35966.7128
"Portugal","PRT",2021,38657.66772
"Portugal","PRT",2022,45250.01488
"Portugal","PRT",2023,49352.83886
"Portugal","PRT",2024,51679.88838
"Romania","ROU",2010,17354.67485
"Romania","ROU",2011,18803.86788
"Romania","ROU",2012,19807.59845
"Romania","ROU",2013,19678.11089
"Romania","ROU",2014,20632.99244
"Romania","ROU",2015,21624.56182
"Romania","ROU",2016,23905.17437
"Romania","ROU",2017,26943.30854
"Romania","ROU",2018,29382.75675
"Romania","ROU",2019,33425.32617
"Romania","ROU",2020,34193.83745
"Romania","ROU",2021,37534.15592
"Romania","ROU",2022,41979.25868
"Romania","ROU",2023,45981.60278
"Romania","ROU",2024,49076.53994
"Slovak Republic","SVK",2010,25381.71123
"Slovak Republic","SVK",2011,26201.65028
"Slovak Republic","SVK",2012,27022.77473
"Slovak Republic","SVK",2013,28075.43262
"Slovak Republic","SVK",2014,29108.07218
"Slovak Republic","SVK",2015,30147.99037
"Slovak Republic","SVK",2016,29867.98034
"Slovak Republic","SVK",2017,30245.78259
"Slovak Republic","SVK",2018,31509.81873
"Slovak Republic","SVK",2019,33985.67584
"Slovak Republic","SVK",2020,35327.94392
"Slovak Republic","SVK",2021,38346.09358
"Slovak Republic","SVK",2022,41562.14978
"Slovak Republic","SVK",2023,45973.94069
"Slovak Republic","SVK",2024,48132.35643
"Slovenia","SVN",2010,27579.42861
"Slovenia","SVN",2011,28715.634
"Slovenia","SVN",2012,28786.71055
"Slovenia","SVN",2013,29634.06576
"Slovenia","SVN",2014,30571.9753
"Slovenia","SVN",2015,31336.20439
"Slovenia","SVN",2016,33575.17754
"Slovenia","SVN",2017,36180.03845
"Slovenia","SVN",2018,38620.20454
"Slovenia","SVN",2019,42373.25064
"Slovenia","SVN",2020,41767.25799
"Slovenia","SVN",2021,45914.05724
"Slovenia","SVN",2022,52347.10973
"Slovenia","SVN",2023,56064.09746
"Slovenia","SVN",2024,57186.37135
"Spain","ESP",2010,31804.67466
"Spain","ESP",2011,32015.5752
"Spain","ESP",2012,31869.78398
"Spain","ESP",2013,32613.68918
"Spain","ESP",2014,33760.95556
"Spain","ESP",2015,35228.6333
"Spain","ESP",2016,37612.71887
"Spain","ESP",2017,39825.24981
"Spain","ESP",2018,41015.15658
"Spain","ESP",2019,44042.75758
"Spain","ESP",2020,39327.84793
"Spain","ESP",2021,44251.66582
"Spain","ESP",2022,51398.93104
"Spain","ESP",2023,55682.24026
"Spain","ESP",2024,57965.29481
"Sweden","SWE",2010,41951.45337
"Sweden","SWE",2011,44332.52174
"Sweden","SWE",2012,45206.98644
"Sweden","SWE",2013,46098.23214
"Sweden","SWE",2014,46841.40197
"Sweden","SWE",2015,48772.06961
"Sweden","SWE",2016,50289.76871
"Sweden","SWE",2017,51474.11991
"Sweden","SWE",2018,53122.43868
"Sweden","SWE",2019,57046.44631
"Sweden","SWE",2020,57489.26572
"Sweden","SWE",2021,62731.70062
"Sweden","SWE",2022,67075.67627
"Sweden","SWE",2023,69226.32728
"Sweden","SWE",2024,71844.91299
"Switzerland","CHE",2010,54426.28281
"Switzerland","CHE",2011,57493.58106
"Switzerland","CHE",2012,59440.91586
"Switzerland","CHE",2013,61656.46617
"Switzerland","CHE",2014,63417.04381
"Switzerland","CHE",2015,65265.04573
"Switzerland","CHE",2016,67350.75187
"Switzerland","CHE",2017,68193.50559
"Switzerland","CHE",2018,70688.81875
"Switzerland","CHE",2019,73732.23533
"Switzerland","CHE",2020,72997.82395
"Switzerland","CHE",2021,81001.41112
"Switzerland","CHE",2022,94421.45766
"Switzerland","CHE",2023,95141.59609
"Switzerland","CHE",2024,96497.6948
"Turkiye","TUR",2010,17466.26417
"Turkiye","TUR",2011,19717.24383
"Turkiye","TUR",2012,20739.27255
"Turkiye","TUR",2013,22475.29098
"Turkiye","TUR",2014,24192.53761
"Turkiye","TUR",2015,25890.05489
"Turkiye","TUR",2016,26730.75997
"Turkiye","TUR",2017,28353.54064
"Turkiye","TUR",2018,28640.34018
"Turkiye","TUR",2019,29016.45557
"Turkiye","TUR",2020,29209.33089
"Turkiye","TUR",2021,32105.54744
"Turkiye","TUR",2022,39564.11033
"Turkiye","TUR",2023,42786.20049
"Turkiye","TUR",2024,45639.01927
"United Kingdom","GBR",2010,36483.56828
"United Kingdom","GBR",2011,37224.37876
"United Kingdom","GBR",2012,38336.59618
"United Kingdom","GBR",2013,39947.53696
"United Kingdom","GBR",2014,41266.81978
"United Kingdom","GBR",2015,42515.27887
"United Kingdom","GBR",2016,44085.20256
"United Kingdom","GBR",2017,46113.02117
"United Kingdom","GBR",2018,47212.20452
"United Kingdom","GBR",2019,50064.96056
"United Kingdom","GBR",2020,48230.0477
"United Kingdom","GBR",2021,51004.42717
"United Kingdom","GBR",2022,59021.57218
"United Kingdom","GBR",2023,59911.34677
"United Kingdom","GBR",2024,62009.49078
"United States","USA",2010,48642.63121
"United States","USA",2011,50024.88123
"United States","USA",2012,51708.39406
"United States","USA",2013,53297.38629
"United States","USA",2014,55153.39402
"United States","USA",2015,56849.46979
"United States","USA",2016,57976.6282
"United States","USA",2017,60047.71907
"United States","USA",2018,62875.66614
"United States","USA",2019,65227.95659
"United States","USA",2020,64401.50744
"United States","USA",2021,71307.40173
"United States","USA",2022,77860.91129
"United States","USA",2023,82304.62043
"United States","USA",2024,85809.90038
